time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1682879830384000000,0.937,0,0,0.9921021461486816,15.402000427246094,0.16798578202724457,209.51022338867188,336.79998779296875,10.9948797,49.5711119
1682879835426000000,5.978999755859375,0,0,0.9878178238868713,16.64699935913086,0.04740351065993309,0,336.79998779296875,10.994875,49.5711041
1682879836907740400,7.460740478515625,0,0,1.0039128065109253,17.479999542236328,0.09981817752122879,0,336.79998779296875,10.994881,49.5711081
1682879837920006100,8.473006103515624,0,0,1.0039128065109253,18.66699981689453,0.10144541412591934,74.51890563964844,336.79998779296875,10.994883,49.5711073
1682879838932278500,9.485278564453125,0,0,1.023280382156372,20.013999938964844,0.11702731996774673,116.72530364990234,336.79998779296875,10.994885,49.5711029
1682879839944549000,10.497549072265626,0,0,1.0333352088928223,21.624000549316406,0.1984686553478241,149.392578125,336.79998779296875,10.9948861,49.5710946
1682879840450684000,11.003683837890625,0,0,0.9837348461151123,24.881000518798828,0.28215140104293823,159.8992919921875,336.79998779296875,10.9948863,49.5710873
1682879840956807000,11.509806884765625,0,0,0.9837348461151123,23.913000106811523,0.4584278464317322,175.24368286132812,336.79998779296875,10.9948803,49.5710719
1682879841969088800,12.5220888671875,0,0,0.9980610013008118,24.643999099731445,0.6200750470161438,179.35772705078125,336.79998779296875,10.994877,49.5710548
1682879842981361000,13.53436083984375,0,0,1.0080984830856323,24.062999725341797,0.7742363810539246,181.33050537109375,336.79998779296875,10.9948737,49.5710357
1682879843988031700,14.54103173828125,0,0,1.0181665420532227,23.645000457763672,0.9117239117622375,181.78587341308594,336.79998779296875,10.9948719,49.5710157
1682879844499765200,15.05276513671875,0,0,1.0181665420532227,23.242000579833984,1.0085684061050415,182.00428771972656,336.79998779296875,10.9948704,49.5709981
1682879845512035000,16.06503515625,0,0,0.97938472032547,21.68899917602539,1.1059253215789795,182.05963134765625,336.79998779296875,10.9948694,49.5709824
1682879846524318500,17.077318359375,0,0,0.9932246804237366,22.77400016784668,1.217839241027832,182.35304260253906,336.79998779296875,10.9948668,49.5709551
1682879847536596200,18.08959619140625,0,0,1.0032868385314941,23.308000564575195,1.2720892429351807,182.378662109375,336.79998779296875,10.9948656,49.5709376
1682879848548865300,19.101865234375,0,0,1.0032868385314941,23.871999740600586,1.3304225206375122,182.40049743652344,336.79998779296875,10.9948643,49.5709188
1682879849561139200,20.11413916015625,0,0,1.0229281187057495,24.42099952697754,1.3894542455673218,182.42250061035156,336.79998779296875,10.9948629,49.5708988
1682879850573396700,21.126396728515626,0,0,0.9753651022911072,24.948999404907227,1.4492478370666504,182.35226440429688,336.79998779296875,10.9948621,49.5708819
1682879851585673200,22.138673095703126,0,0,0.9879411458969116,25.488000869750977,1.4817272424697876,182.55142211914062,336.79998779296875,10.9948596,49.5708599
